緯度,経度,店名,紹介文,住所,電話番号,定休日,営業時間,テイクアウト営業時間,ジャンル,価格帯,支払い方法,Instagram,Twitter,公式サイト
33.483795,135.783559,M's cafe & dining,チキンカレーとお弁当販売しております。　お電話でご予約くださいませ。,串本町サンゴ台1107-10,0735-67-7190,月、第１火曜、第３日曜,11:00 - 16:00 / 18:30 -22:00,, イタリアン、創作居酒屋、cafe,"昼 400円 - 1,200円  夜 1,000円 - 4,000円", 現金、クレジットカード、PayPay,mscafeanddining,,
33.484037,135.78934,Sea side bal Nansea's,当店人気のピザとパスタなどがテクアウト可能です。是非おこしくださいませ。　,串本町くじの川1293-7,0735-67-7744,月曜日,11:30 - 14:00 / 17:00 - 21:00 (ラストオーダーは30分前まで),11:30 - 14:00 / 17:00 - 21:00 (ラストオーダーは30分前まで),イタリアン,1000円より,現金、各種カード、PayPay,nanseas_kushimoto,,
33.475983,135.784154,タイヨウのカフェ,ケバブライス　トルコのピザ「ピデ」も人気です。　オードブルもご予約可能です。,串本町2079-2,070 3317 4075,なし,10:00 - 19:00 ,10:00 - 19:00,ブックカフェ,800円 - 1000円,現金、エアペイ取扱い各種,taiyocafe,nazar_kcr,http://kcrjp.com/taiyocafe/
33.48461,135.79039,ビーチハウス・ラパン,お弁当500円　配達も致します。　前日までにご予約くださいませ。,串本町くじの川1597,090-3356-8305,水曜日,9:00 - 17:00,前日予約　,お弁当,500円 - 800円,現金、PayPay,,,http://cafe-lapin-2014.sakura.ne.jp/
33.484338,135.789572,焼肉 蓮,焼肉連のお肉がお弁当になりました。　,串本町くじの川1294-2,0735-62-5084,月・木,11:30 - 14:00 17:00 - 21:30 （ラストオーダーは30分前まで）,,焼肉店,昼1100円 - 1500円,現金のみ,mkplanningco,,
33.469669,135.778833,手作り弁当　銀座屋,いつも日替わりでお弁当販売しております。,串本町串本８９１-3,080-1509-4667　（要予約）,日曜日,9:00 - 15:00,9:00 - 15:00,お弁当 お惣菜,550円より,現金,,,
33.517968,135.826988,弁当たちばな,お弁当500円　オードブルもご予約可能です。　お電話で予約してくださいね。,串本町古座113,090-9881-3960　（要予約）,第１月曜,10:00 - 15:00,前日予約,お弁当 オードブル,弁当500円　　オードブル3000円～,現金,,,
33.468416,135.778446,こより - coyori,築100年以上の古民家改装したカフェです。「タピオカドリンク」や週替わりで楽しめる「サンドウィッチ」「プレートごはん」が店内・テイクアウト両方でお楽しみいただけます。※6月より金土日のランチ営業しております。,串本町串本996,0735-67-7194,月～木,11:30-14:30,11:30-14:30,カフェ,300円 ～1000円,現金、PayPay,nipponia_kushimoto,NIPPONIA_94moto,https://nipponia-kushimoto.jp/
33.47367,135.783783,サンドリア,素材の美味しさを最大限に生かす為に、カレー・スープ・ホワイトソース・ドレッシングなど食材にこだわり、サンドリアオリジナルの味を追求し、日々おいしいの一言を言ってもらえるよう努力しております。,串本町串本2505,0735-62-5667,不定休,9:00-21:00,9:00-14:00,洋食・和食,870円～,現金、カード、PayPay,,,http://www.sundoria.jp/sub01.html
33.482323,135.788161,merry mom,メリーマム日替わりカフェ弁当（日曜日は定休日）,串本町くじの川1245,0735-62-1815,日曜日,11:30-18:00,11:30-14:00,洋食,600円～,現金,,,https://www.facebook.com/merrymommiho/
33.449696,135.760985,キリン屋,お持ち帰り＆配達お弁当,串本町潮岬1660-1,0735-62-2140,なし,8:00-11:00,8:00-11:00,お弁当,500円～,現金,,,
33.484238,135.756506,尾鷲,配達のみ（串本地区）要相談,串本町高富805-1,0735-62-0447,,電話受付,前日までに電話受付,お弁当,650円～,現金,,,
33.43748,135.759193,岬ロッジにしだ,岬ロッジお弁当（お持ち帰りのみ）,串本町潮岬2864,0735-62-1474,不定休,電話受付,2日前までに電話受付,お弁当,1000円～,現金,,,https://misakilodge.com/
33.472383,135.783154,松ふさ,料理、金額、配達等なんでもご相談ください。,串本町串本2411,0735-62-5455,水曜日,11:00 - 14:00 / 17:00 -20:00,前日までに予約（当日でもご相談ください）,お弁当,"1,000円",現金,,,
33.471721,135.781662,お好み焼き 道とん堀,一品からでもお気軽にご注文ください。,串本町串本1814,0735-62-1717,なし,11:30 - 14:00 / 17:00 - 21:00,,お好み焼き,500円～,現金,,,
33.474612,135.782993,香蔵,から揚げ南蛮やだし巻き卵など人気メニューをテイクアウトしていただけます。,串本町串本40-54,0735-62-6162,日曜日,17:30～23:00,16:00～19:00,居酒屋,450円～,現金,,,
33.473656,135.782749,TSUBAKI coffee and more,本格的なコーヒーと人気のチーズケーキが味わえます。テイクアウトはホットサンドと焼き菓子　コーヒーとなっております。　日曜日は焼き菓子とドリンクのみです。,串本町串本2435,0735-70-4500,水曜日,9:00～19:00　（日曜日12:00～17:00）,9:00～19:00　（日曜日12:00～17:00）,カフェ,850円～,現金,tsubaki_candm,,
33.506147,135.815585,たい島,その他テイクアウト可能な、店メニューがございます       ¥500~(税別),串本町西向1260-2,0735-72-1156,日曜、※日月連休の場合月曜,8:00~18:00,9:00~18:00,喫茶、食事処、仕出し,弁当¥720~(税別),現金、PayPay、auPAY,,,http://www.taijima.jp
33.475222,135.78199,炭火焼　匠,ホルモンうどん、牛バラ焼肉弁当など,串本町串本33-21,0735-62-2929,不定休,11:30～14:00/17:00～23:00,11:30～14:00,焼肉,600円～,現金、PayPay,,,
33.473952,135.781163,ジジ（gigi）,パン、サンドなど,串本町串本224-8,0735-62-5541,土曜、日曜,6:00～18:00,6:00~18:00,パン,100円～,現金、PayPay,,,
33.514702,135.841848,ヴァレ・ノワール,ピラフ、カレー、スパゲティ等,串本町津荷133,0735-72-3345,水曜、第１，３木曜,10:00～19:00,10:30～19:00,カフェ,650円～700円,現金,,,
33.481415,135.74536,海中公園レストラン アクロポーラ,人気のメニューを日替わりで御用意させていただきます。,串本町有田1157,0735-62-1122,なし,9:00～17:00,11:00～13:00,レストラン,600円～,現金,,,
33.475974,135.782647,ロンパ,テイクアウトに出前、豊富なメニューを取り揃えています。お弁当もご予算に応じて受け付けておりますのでご相談ください。,串本町串本42-14,0735-62-2665,月曜日,11:30 - 14:30 / 17:00 -21:00,11:00 - 13:00 / 17:00 -19:30,中華料理,800円～1400円,現金,,,
33.476364,135.782523,東うなぎ,秘伝のタレで焼き上げた自慢のうな重をお召し上がりください。,串本町串本10-12,0735-62-3398,火曜日,11:00～14:00,11:00～14:00,鰻屋,1500円～,現金,,,
33.493927,135.701354,八瀬寿司,新鮮な魚介類を大きなネタで食べていただき、満足していただける寿司を握らさせていただいております。,串本町江田468-1,0735-66-1218,火曜日,11:00 - 14:00 / 16:00 -20:00,11:00～20:00,寿司,1050円～,現金,,,
33.476593,135.782604,勘八,串本の天然魚を使ったお寿司をどうぞ。,串本町串本10-15,0735-62-4741,水曜日,11:30 - 14:00 / 17:00 -21:00,11:30 - 14:00 / 17:00 -21:00,寿司,1620円～,現金,,,
33.470239,135.781476,松寿司,他では味わえない珍しい地魚や貝など旬なネタをご用意しております。,串本町串本1735-91,0735-62-0728,不定休,11:30 - 14:00 / 17:00 -21:00,11:30 - 14:00 / 17:00 -20:30,寿司,1000円～,現金、カード,,,
33.469326,135.781556,精乃門,お祝い、法事等の仕出しもさせていただいております。,串本町串本1735-34,0735-62-5077,月曜、第３日曜,17:00 -21:30,予約11:00 - 17:00 引渡11:00 -14:00,和食・弁当・仕出し（パック、オードブル）,1080円～6500円,現金,,,
33.460698,135.785659,水門まつり,海鮮定食、丼物など。テイクアウトはお寿司盛り合わせ、お造り盛り合わせ、オードブル等。ホームパーティー、催事、法事等にどうぞ。,串本町串本1557-20,0735-62-7787,不定休,11:00～15:00,予約9:00 - 15:00 引渡11:00 -16:00,和食（海鮮）,3240円～,現金、PayPay,,,http://www.minatomaturi.jp/
33.471848,135.782099,串本旬彩おおはし,熊野牛そぼろ重、上えび天重など,串本町串本2304,0735-67-7466,水曜・第１火曜,11:00 - 14:00 / 17:30 -21:30,11:00 - 14:00 / 17:30 -21:30,カジュアル和食,平均1200円,現金,,,
33.473773,135.78158,ハンチェダン,※夜は会員のみ営業,串本町串本226　1階,080-5312-4571,昼：月・金のみ営業　　夜：不定休,12:00 - 13:30 / 18:00 -22:00,前日までに要予約,韓国料理,300円～1000円,現金,,,
33.473469,135.782631,めん処 海布,丼物、唐揚げ、だし巻き卵他、テイクアウトもご利用いただけます。,串本町串本2433,0735-62-1047,日曜・月曜,11:30 - 14:00 / 17:00 -20:00,テイクアウトは当日対応可能,うどん、そば、定食、丼物,550円～1200円,現金,,,
33.477899,135.782649,居酒屋よしくに,いろんなメニューをご用意しております。お気軽にお越しくださいませ。,串本町くじ野川1160-3,090-3277-4492,日曜日,17:30頃 -22:00,,居酒屋,100円～1200円,現金、PayPay、d払い、auPAY,,,
33.486362,135.793009,おざきのひもの,各ひもの定食、まぐろ丼、しらす丼。テラス席がございます。,串本町くじ野川1595-7,0735-62-0337,なし,店8:00 - 18:00 / 飲食11:00 -15:00,テイクアウトは当日対応可能,魚定食,850円～1200円,現金、PayPay,,,
33.488113,135.79397,うどん・そば はし杭,麺類ですので正直なところ店内飲食がおすすめですが、出前、持ち帰りなどご相談ください。,串本町くじ野川1548-1,0735-62-1163,隔週火曜,11:00～19:00,テイクアウト、デリバリーは要問合せ,うどん・そば,600円～1600円,現金、カード、PayPay,,,
33.470363,135.780773,弁当 とまと,日替わり弁当をお届けします。当日対応可能。数量により事前予約が必要。,串本町串本1547-7,0735-62-3425,日・祝日,8:00～12:00,8:00 - 9:00 / 11:00 -12:00,お弁当,600円～,現金,,,
33.530802,135.812975,農家カフェ つくる,自家製の野菜をたっぷり使った手作りにこだわったごはんを提供しています。パンやお惣菜、おにぎり弁当の販売もあります。,串本町古田275-1,0735-67-7240,月・水・金・日,11:00～16:00,お持ち帰り（月・水・金・土）　予約9:30～　引渡11:30～,農家カフェ,650円～1000円,現金、PayPay,,,
33.464765,135.778887,焼肉 樹樹,お忙しいご家族のために、夕食用にコロッケのテイクアウトをさせて頂きます。コロッケは1個100円（税込）です。,串本町串本1754-8,0735-62-6132,水曜日,17:00～21:30,コロッケテイクアウトは当日対応可能,焼肉,750円～2700円,現金、カード、PayPay,,,
